"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP","GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP","GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP","3/14","191/16930",0.00046946077936288,0.0386652346034734,0.0361779972897996,"YPEL3/REPS2/TLE3",3
"GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","3/14","200/16930",0.000537017147270463,0.0386652346034734,0.0361779972897996,"REPS2/BCOR/TLE3",3
