"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN","7/86","161/10897",0.000272451980497232,0.0329097577891314,0.0307052764061274,"COL4A1/B2M/COL1A1/TIMP2/AXL/APP/GSN",7
"RB_P130_DN.V1_DN","RB_P130_DN.V1_DN","RB_P130_DN.V1_DN","6/86","136/10897",0.000702226001324905,0.0329097577891314,0.0307052764061274,"GNS/B2M/PARP9/GLO1/CTSB/DDX3X",6
"MEK_UP.V1_UP","MEK_UP.V1_UP","MEK_UP.V1_UP","7/86","194/10897",0.000834169351493806,0.0329097577891314,0.0307052764061274,"CDC42BPB/NME4/TIMP2/COL5A2/LIMCH1/ASPH/FHL1",7
"CAMP_UP.V1_UP","CAMP_UP.V1_UP","CAMP_UP.V1_UP","7/86","200/10897",0.000997265387549437,0.0329097577891314,0.0307052764061274,"IFITM3/ATP1A1/HSP90B1/P4HB/ECSIT/COL6A3/ACO2",7
